id,alias,name,image_url,url,review_count,categories,rating,transactions,phone,latitude,longitude,address,location_searched,lat,price,census_tract
lJAGnYzku5zSaLnQ_T6_GQ,brendas-french-soul-food-san-francisco,Brenda's French Soul Food,https://s3-media3.fl.yelpcdn.com/bphoto/sNIJnePGDenUOyewsD8tLg/o.jpg,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,10703,"french,soulfood,breakfast_brunch,",4,NA,14153458100,37.7829016,-122.4190434,"652 Polk St,San Francisco, CA 94102",94102,37.7829016,Med,Census Tract 124.02
u39mZEYojBiNic3lqKhPNw,tacorea-san-francisco,Tacorea,https://s3-media2.fl.yelpcdn.com/bphoto/xJUH-UAXBuIEub6HbxPKFQ/o.jpg,https://www.yelp.com/biz/tacorea-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,1566,"mexican,korean,latin,",4.5,NA,NA,37.7897794,-122.410717,"809 Bush St,San Francisco, CA 94108",94102,37.7897794,Med,Census Tract 121
hqQoVK0vadOX7_4gN1sh3g,saigon-sandwich-san-francisco,Saigon Sandwich,https://s3-media3.fl.yelpcdn.com/bphoto/lE_HHijKAKt08JIeRHVh7w/o.jpg,https://www.yelp.com/biz/saigon-sandwich-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3193,"vietnamese,sandwiches,",4.5,NA,14154745698,37.78315196,-122.417318,"560 Larkin St,San Francisco, CA 94102",94102,37.78315196,Low,Census Tract 124.01
KA-P3d2NcbJy5SQN-vCzPA,aria-korean-street-food-san-francisco,Aria Korean Street Food,https://s3-media1.fl.yelpcdn.com/bphoto/_ULoxzAds4VhjhOE4kiRiQ/o.jpg,https://www.yelp.com/biz/aria-korean-street-food-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,647,"korean,tapasmallplates,chickenshop,",4,"delivery,pickup",14152926914,37.78655,-122.41795,"932 Larkin St,San Francisco, CA 94109",94102,37.78655,Med,Census Tract 122.01
Je2KUIL7siL6UtqHmtOkPA,kagawa-ya-udon-san-francisco,Kagawa-Ya Udon,https://s3-media2.fl.yelpcdn.com/bphoto/djoAzxBx2eQvurGNL4rveA/o.jpg,https://www.yelp.com/biz/kagawa-ya-udon-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,273,"japanese,noodles,",4,"delivery,pickup",14157030995,37.7752315,-122.4175278,"1455 Market St,Ste 3A,San Francisco, CA 94103",94102,37.7752315,Med,Census Tract 176.01
GyBh5QsGham__kK7eJ2feQ,box-kitchen-san-francisco,Box Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/6lYNesrYPiU2Y4_HuFpysA/o.jpg,https://www.yelp.com/biz/box-kitchen-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,785,"foodstands,burgers,waffles,",4.5,pickup,14155807170,37.78115108,-122.4063651,"431 Natoma St,San Francisco, CA 94103",94102,37.78115108,Med,Census Tract 176.01
HHtpR0RslupSQ99GIIwW5A,marufuku-ramen-sf-san-francisco,Marufuku Ramen SF,https://s3-media2.fl.yelpcdn.com/bphoto/2lUFO5HWD7_RLDWlT5Nvuw/o.jpg,https://www.yelp.com/biz/marufuku-ramen-sf-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,2495,"ramen,",4.5,NA,14158729786,37.785155,-122.432075,"1581 Webster St,Ste 235,San Francisco, CA 94115",94102,37.785155,Med,Census Tract 155
PIGioaSFPfnSxZ-o8yNvJA,sams-diner-san-francisco,SAM's Diner,https://s3-media1.fl.yelpcdn.com/bphoto/JWwU8oYPEoKRZnxI98A3OA/o.jpg,https://www.yelp.com/biz/sams-diner-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,727,"tradamerican,breakfast_brunch,coffee,",4,"restaurant_reservation,delivery,pickup",14156268590,37.77846224,-122.4155106,"1220 Market St,San Francisco, CA 94102",94102,37.77846224,Med,Census Tract 124.02
0YPcBWiU-8t2kGe-DOhW5g,tommys-joynt-san-francisco,Tommy's Joynt,https://s3-media4.fl.yelpcdn.com/bphoto/RmfcnwXBfmIt3LiQnj1hhA/o.jpg,https://www.yelp.com/biz/tommys-joynt-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,2814,"tradamerican,bars,salad,",4,"delivery,pickup",14157754216,37.785547,-122.421814,"1101 Geary Blvd,San Francisco, CA 94109",94102,37.785547,Med,Census Tract 151
WOVHQYzSAdyXYOiYDTmujQ,the-bird-san-francisco,The Bird,https://s3-media1.fl.yelpcdn.com/bphoto/swsVh8zitzh6gipKB4zaUA/o.jpg,https://www.yelp.com/biz/the-bird-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,1518,"chickenshop,sandwiches,",4,NA,14158729825,37.78724,-122.39995,"115 New Montgomery St,San Francisco, CA 94105",94102,37.78724,Low,Census Tract 615
#NAME?,tselogs-san-francisco-5,Tselogs,https://s3-media1.fl.yelpcdn.com/bphoto/QxxPAP7fBsYuQFjbvoqlwg/o.jpg,https://www.yelp.com/biz/tselogs-san-francisco-5?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,568,"filipino,",4.5,NA,14156587142,37.78656,-122.41295,"552 Jones St,San Francisco, CA 94102",94102,37.78656,Low,Census Tract 123.02
ziWibyZYvqtrbc7f9v2iPg,dragoneats-san-francisco,DragonEats,https://s3-media3.fl.yelpcdn.com/bphoto/XBhAxmXRnPxDC46WCcrR_w/o.jpg,https://www.yelp.com/biz/dragoneats-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,363,"vietnamese,sandwiches,",4.5,NA,14157951469,37.7784199,-122.42292,"520 Gough St,San Francisco, CA 94102",94102,37.7784199,Low,Census Tract 162
aqE-QPODsDad9Ixv_akZrg,azalinas-san-francisco-2,Azalina's,https://s3-media2.fl.yelpcdn.com/bphoto/9I6FGKozYeVs04QBal0sKw/o.jpg,https://www.yelp.com/biz/azalinas-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,310,"malaysian,soup,noodles,",4,"delivery,pickup",14156602020,37.77665936,-122.4170159,"1355 Market St,San Francisco, CA 94103",94102,37.77665936,Med,Census Tract 176.01
